Year,GDP,Tourism_Numbers,Pande_Impact,Tourist_Ratio
2014,2524869000.0,961000.0,0.0,0.24054792545672665
2015,2435418000.0,983000.0,0.0,0.26019398723340303
2016,2437578000.0,1015000.0,0.0,0.2737946404176605
2017,2511152000.0,1072000.0,0.0,0.2863118858723009
2018,2467392000.0,1151000.0,0.0,0.31912067114310166
2019,2414435000.0,1306000.0,0.0,0.3774379771312354
2020,2292657000.0,1259667.0,0.2,0.3910522376745409
2021,2421944000.0,1213333.0,1.0,0.3636923725657948
2022,2423728000.0,1167000.0,0.8,0.35653767522673135
2023,2387533000.0,1670000.0,0.0,0.5283062058730631
2024,2434559597.949046,,,
2025,2524102310.504353,,,
2026,2574500351.400993,,,
2027,2660938969.6988235,,,
2028,2714194956.3798265,,,
