Year,Local,Tourism_Numbers,stsfy,Crowding_at_Mendenhall_Glacier,Crowding_on_sidewalks_downtown,Vehicle_congestion_downtown,Flightseeing_noise,Air_emissions_from_cruise_ships,Vehicle_congestion_outside_of_downtown,Whale_watching_boat_traffic_and_wakes,Crowding_on_trails,Street_Services,Wastewater,Public_Transit,Parks_and_Recreation,Docks,Ports,JNU_Composite,Grocery_Items,JNU_Housing,Utilities,Transportation,Healthcare,Misc._Good_and_Services
2014,32500.0,961000.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,5021400,9650800,6427000,11787600,1188500,3195000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2015,32600.0,983000.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,4871100,11953700,6626800,11652600,1394400,3547400,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2016,32500.0,1015000.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,4792200,12236200,6250100,11436100,2954100,4695500,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2017,32100.0,1072000.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,4742900,11537000,7473900,11708100,1619900,6703700,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2018,32000.0,1151000.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,5438600,13231400,5438600,11758000,1864000,4434000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019,32000.0,1306000.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,5255100,14119900,5255100,11547000,4182400,4002700,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2020,32200.0,1259667.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,5465200,11825400,6520900,11641900,1399100,3983100,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2021,32000.0,1213333.0,156,57,57,57,41,36,36,41,34,5395400,15709600,6711900,11891100,1266000,3928400,129.1,143.1,141.9,136.1,112.8,155.6,105.5
2022,31700.0,1167000.0,160,57,56,51,46,42,42,40,38,5991700,17569700,6852100,12830100,1772700,4000600,127.9,136.3,142.3,133.0,115.3,153.7,110.2
2023,31600.0,1670000.0,137,63,59,61,43,36,45,47,40,5960200,19733700,6715300,13896900,2341500,5158600,128.0,122.7,131.7,139.2,124.9,151.4,122.1
2024,31300.0,1701018.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,6953800,14535800,7437700,14811900,2728300,5191400,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2025,31181.135,1773778.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,6990400,16927700,9138100,18270600,2845900,7375200,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2026,30806.485,1841641.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,7255800,17346400,9194400,18351600,2889200,5463800,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2027,30694.317,1909127.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2028,30424.196,1975809.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
