alpha,beta,max_n,tex,q,n,value
1.0,1.0,147135472.64422137,0.0,4.999972929279818,2551527.0,117158702.38959995
1.0,2.0,2743228.797042307,0.0,4.999988005961263,2551527.0,111737696.40728176
1.0,3.0,4307789.269054769,0.0,4.9999733659867776,2551527.0,106316690.4249378
1.0,4.0,3191235.7886163876,0.0,4.999978235171109,2551527.0,100895684.44261172
1.0,5.0,7298172.454605001,0.0,4.999971080874028,2551527.0,95474678.46027231
1.0,6.0,33369172.82035793,0.015358422952501814,5.000013034838555,2419592.0946098114,90302280.24668123
1.0,7.0,197194954.21024352,0.037601829014853615,5.000034043437886,2241173.2751489845,86199810.9049151
1.0,8.0,3184770.0281415517,0.05647852281800171,5.000006735941517,2101099.2043305817,82912454.46881148
1.0,9.0,2985524.2017350895,0.07281138608296289,5.0000179224789045,1987993.7036644223,80204721.61411239
1.0,10.0,1889873.1748726296,0.08791266926109752,4.984320228382791,1889873.1742089507,77924150.94715828
1.0,11.0,1202318667854.9497,0.09992069402115268,5.000011849204762,1816146.2352907201,75969558.71990927
1.0,12.0,1762345.4185106666,0.10908987024106272,24.033350047516915,1762345.4185106666,73574991.38882478
1.0,13.0,1696514.2937862356,0.12177237985101329,5.000041057815635,1691404.6271053238,72766110.56266351
1.0,14.0,2346255.248616966,0.13125183355533682,5.000063523209588,1640952.9087751356,71427042.84745756
1.0,15.0,1628844.069807202,0.13995704027733474,5.000001435502053,1596514.5971074835,70220916.60310905
1.0,16.0,2192492.289748584,0.14799346371816402,4.999804745517437,1557065.9161565728,69125115.01873274
1.0,17.0,2949855272.45456,0.1554506099549,4.9999364607433865,1521787.6576538933,68121885.31180342
1.0,18.0,2410347.125209732,0.16239689540871502,5.000102367584081,1490054.210830693,67197092.57774118
1.0,19.0,1867105.3245502312,0.1688923515524951,5.000023191709158,1461347.6558920052,66339339.54329154
1.0,20.0,2005650.6924569292,0.1749867439332773,5.000004340904686,1435249.644733497,65539332.297347374
1.0,21.0,2153972.476703098,0.18119591187723041,26.936916515623746,1409479.119563275,64214287.99634897
1.0,22.0,2135935.293841278,0.18613491334145985,4.999987640919317,1389561.6882948985,64083224.071937576
1.0,23.0,1932339.3563094293,0.19161900567660792,25.705793982926203,1368040.7576873647,62866085.39783948
1.0,24.0,1648534.9091245893,0.19611148805778955,4.999950838583652,1350871.17778291,62781512.40774203
1.0,25.0,1588531.5207209778,0.20072873271087166,5.006875484871998,1333650.7558839081,62177655.31985829
1.0,26.0,2008616.2542723238,0.20530565744432497,23.913068431533986,1317001.4969289098,61087370.067077085
1.0,27.0,1506599.5998640726,0.20930917124064097,5.000047359037952,1302777.3653246341,61047452.516292915
1.0,28.0,1546818.5281659267,0.21331257911691764,5.000038135247872,1288866.4098051458,60515840.7698968
1.0,29.0,1545637.9167774713,0.21714329402108945,5.000016406207393,1275845.0478047987,60003616.669703625
1.0,30.0,1407999.0761629187,0.22081410205737909,5.000050915124408,1263629.9364378816,59508923.327921756
1.0,31.0,1516976.8059706558,0.224336391292396,5.000013298575442,1252148.131612014,59030130.86650359
1.0,32.0,2535032348320911.5,0.22772043738857825,5.000036684168179,1241335.2017502761,58565802.821343765
1.0,33.0,2760869245.3988714,0.2309750269364342,4.999982055715618,1231135.6180421691,58114668.34570016
1.0,34.0,1756293.775309473,0.23411000952772257,5.000041004352281,1221494.1821193863,57675599.075893745
1.0,35.0,2116808370.5867062,0.237131596832015,4.9999781757327835,1212370.0854218034,57247589.76891621
1.0,36.0,7688772050102.189,0.2400473212906559,5.000163238766232,1203721.0850602163,56829742.01569932
1.0,37.0,1508266928.1627522,0.24286297255045677,4.999959398834345,1195512.5016439313,56421250.47292734
1.0,38.0,1154629912.1109805,0.24558508832292297,5.000078074886136,1187709.522780132,56021391.166093364
1.0,39.0,600599505.5623066,0.24821842553390397,4.999948181993569,1180284.2993149923,55629511.51772408
1.0,40.0,853240058.8009989,0.2507682168169234,4.999936386476758,1173209.1919074769,55245021.801425956
1.0,41.0,376790723.6634066,0.25323894625773,4.999993987709269,1166460.0832932596,54867387.79578758
1.0,42.0,970061681002.2513,0.25563468293790903,5.0000057308619485,1160015.2290816258,54496124.44267883
1.0,43.0,285571517.3192638,0.25795940540435586,5.000011792702053,1153854.2362049925,54130790.355048165
1.0,44.0,124890178559.64832,0.2602164116013439,4.999992883208184,1147959.5014928007,53770983.04325628
1.0,45.0,169976792.85846946,0.26240929895884674,5.000010504193415,1142313.5144635432,53416334.753111266
1.0,46.0,9080344.177671077,0.2645410858047733,5.00000894090513,1136901.0709800755,53066508.82605932
1.0,47.0,525962813.09601605,0.2666147324358141,5.0000029303109335,1131707.8247268526,52721196.506532125
1.0,48.0,166651399.6604641,0.2686325275025018,5.000019395134661,1126721.740190841,52380114.133848295
1.0,49.0,4492361.372802004,0.2705973531515171,5.000004460790841,1121929.8805622414,52043000.665497445
1.0,50.0,157362177.19632393,0.2725116030071715,4.999926302499535,1117321.0566029379,51709615.48732582
1.0,51.0,125085592.83681385,0.27437740545062167,5.000046396866544,1112885.1919379001,51379736.472677834
1.0,52.0,103986201.66137238,0.27619643839372243,5.0000000705198016,1108613.6893782583,51053158.25746297
1.0,53.0,117772411.26453783,0.27797125207814133,5.000037522735657,1104496.2940228367,50729690.704587676
1.0,54.0,305195126.6797746,0.27970308805339367,4.99994201984065,1100526.1630546683,50409157.53353058
1.0,55.0,79115833.85915947,0.2813941456148452,4.999982096788328,1096694.5638820336,50091395.09444198
1.0,56.0,66177986.79688866,0.28304476787723165,5.000054469966776,1092997.2504117317,49776251.269300245
1.0,57.0,1187993.62550238,0.28465956039657764,5.000069887620587,1089420.7378823392,49463584.487760656
1.0,58.0,46295986.54284957,0.2862367054913711,4.999988506954024,1085966.088205425,49153262.83619864
1.0,59.0,27701353.2195498,0.2877790385514202,5.000026181957115,1082624.2553870075,48845163.26160006
1.0,60.0,23866518.299106702,0.28928775885930513,4.999971774052775,1079390.034960616,48539170.84834521
1.0,61.0,19981599.913101804,0.29076350350580643,5.000018417090284,1076259.5970121827,48235178.16571749
1.0,62.0,18059303.57847181,0.2922080559471622,4.999984169247455,1073226.848143762,47933084.676497295
1.0,63.0,19406470.85606562,0.2936221858731371,5.0000690529823055,1070288.012907639,47632796.20082921
1.0,64.0,16428073.396650987,0.2950073240696675,5.000006300415078,1067438.0900281195,47334224.42900658
1.0,65.0,18670104.831910804,0.29636337581249844,5.0001471680234415,1064675.3459310948,47037286.4771487
1.0,66.0,13574425.279932182,0.2976937349496558,5.000003482628401,1061991.0900125902,46741904.4856271
1.0,67.0,15248347.763249315,0.29899648066328177,5.0000135698939125,1059387.514336992,46448005.24615205
1.0,68.0,15750445.006016186,0.3002739429940575,5.0000609423316895,1056858.3361952447,46155519.86865555
1.0,69.0,13057574.682138037,0.3015265528020089,4.999950104201055,1054401.1974216246,45864383.471409775
1.0,70.0,14005889.577115878,0.30275519555345753,5.0000780596441485,1052012.9316911378,45574534.89860447
1.0,71.0,1152680.245474194,0.3039606016925985,5.000013272723596,1049690.7701651417,45285916.461744495
1.0,72.0,1141809.9320314676,0.3051434196615067,5.000035617417202,1047432.1853735091,44998473.70126522
1.0,73.0,12454663.819070004,0.30630435604716594,5.000018085388759,1045234.6168529659,44712155.16834661
1.0,74.0,1184057.8687039015,0.30744423776014856,5.000019023431382,1043095.3565536276,44426912.22327893
1.0,75.0,995636.5606140179,0.3357246148755295,7.817540949928105,995636.5606140179,43869485.84585087
1.0,76.0,1172684.1524740478,0.3096602698349359,5.000142960437714,1038988.454806521,43859471.483237065
1.0,77.0,3032835.923550318,0.31074197585501145,4.999622164044793,1037008.563600227,43577188.85937616
1.0,78.0,1127306.5379480883,0.31180338504992783,5.000132945280483,1035081.5443076099,43295811.855459556
1.0,79.0,1057364.3697741216,0.3128457299974972,5.000090241686781,1033204.2272086137,43015303.36357945
1.0,80.0,1111432.70034637,0.31387014415161646,5.000108997660236,1031373.7125329248,42735628.166314565
1.0,81.0,1163242.3547883427,0.31487736257752824,5.000056451151392,1029587.8880356342,42456752.817887776
1.0,82.0,1129134.8461750217,0.3158680617973292,5.000051090358224,1027844.8029391521,42178645.53671727
1.0,83.0,1154253.962636295,0.3168413729105344,5.000001688159492,1026145.2482780134,41901276.10653615
1.0,84.0,1090308.9358124884,0.3177994627467308,5.0005510245939675,1024484.7449658287,41624615.7794817
1.0,85.0,1081447.8796180459,0.31874110476389167,5.000027416542302,1022864.757411796,41348637.20455279
1.0,86.0,1087166.155072496,0.3196678710487071,5.000025035708557,1021281.9408532813,41073314.31890715
1.0,87.0,1165677.0681630103,0.3205798548838814,4.999973200488911,1019735.5409371598,40798622.300695166
1.0,88.0,1115080.2095306567,0.32147739577625434,5.000057772214777,1018224.4077329813,40524537.48524728
1.0,89.0,1103714.5373124322,0.3223606159229224,5.000051554197002,1016747.78195304,40251037.302697994
1.0,90.0,1195541.5825643041,0.32323010131400487,5.000022911566115,1015304.1546228026,39978100.21686592
1.0,91.0,1142900.7291465588,0.324086105132902,5.000053048273177,1013892.6017699983,39705705.66833529
1.0,92.0,1099802.7992194376,0.32492884548781337,5.00005751213631,1012512.2786809155,39433834.021305956
1.0,93.0,1114498.7327876326,0.32575885270100396,5.000015697326391,1011161.8541639986,39162466.51356649
1.0,94.0,1243486.3408372866,0.3265761823422672,4.999954782429325,1009840.7943156603,38891585.20973642
1.0,95.0,1082543.4220716434,0.32738034711485137,4.999948440872786,1008549.4456950591,38621172.95735119
1.0,96.0,1096566.631433263,0.3281729078196976,4.999823489970999,1007284.8866587969,38351213.34624559
1.0,97.0,1137145.0770708122,0.3289558226784376,5.000018197101335,1006043.6394556543,38081690.672078416
1.0,98.0,1128298.7928784082,0.3297257171722272,4.999965965009864,1004830.686468032,37812589.89264353
1.0,99.0,1091649.6533132019,0.33048471338268653,4.999939343395974,1003642.305398278,37543896.603085406
1.0,100.0,1081746.4851798906,0.3312325224225717,4.999975072361206,1002478.6038346789,37275596.99893142
2.0,1.0,2951734.657652842,0.0,5.000030993415849,2551527.0,239738410.76152113
2.0,2.0,2952038.402567009,0.0,5.000008461936124,2551527.0,234317404.77922937
2.0,3.0,316100772.9399443,0.0,5.000019364658464,2551527.0,228896398.79688454
2.0,4.0,2676617.3168524266,0.0,4.999993687344067,2551527.0,223475392.81456813
2.0,5.0,6792980.823277037,0.0,5.000026722464084,2551527.0,218054386.83220676
2.0,6.0,3197144.9426867315,0.0,5.000010402869129,2551527.0,212633380.84990242
2.0,7.0,3030124.941291273,0.0,5.000022955100125,2551527.0,207212374.86755243
2.0,8.0,27489785.4620588,0.0,4.999972014346613,2551527.0,201791368.88520968
2.0,9.0,4781900.483193653,0.0,4.999966485630526,2551527.0,196370362.9028632
2.0,10.0,2567165.325996131,0.0,4.999980356346782,2551527.0,190949356.9205647
2.0,11.0,2559841.78943949,0.0026013627938083574,5.000021073468632,2528667.056269383,185542228.30664492
2.0,12.0,4038122.3496949268,0.015358399493491992,4.999975770244028,2419592.2906030794,180604560.4933458
2.0,13.0,3944466.5683820215,0.02696695640815857,4.999958256755702,2324640.076483796,176259363.54773635
2.0,14.0,3698736.293394462,0.03760182474029936,5.000020005734803,2241173.3080302165,172399621.8098593
2.0,15.0,3137459.2739251233,0.047401835502635166,4.99999324558135,2167179.7256233697,168942969.46419102
2.0,16.0,3084521.8613306354,0.056478553174309776,4.999973508863954,2101098.9872232135,165824908.9376011
2.0,17.0,3117747.1495433296,0.064923268589117,5.000026390450674,2041698.8018029523,162994167.9442183
2.0,18.0,3081384.8016922073,0.07281138701029857,5.000032975096639,1987993.697450737,160409443.2281982
2.0,19.0,1250818857.0644283,0.0802058714305224,4.999931885727824,1939185.6338384112,158037068.06460005
2.0,20.0,1972121.9525957,0.08715986289336453,4.999997921180972,1894620.7204188092,155849309.92424637
2.0,21.0,85770731.49486725,0.09371852633625843,4.999973193096384,1853758.2680937473,153823107.17019352
2.0,22.0,2116227682.5600002,0.09992070318812528,5.000025317326087,1816146.1804317727,151939117.43980262
2.0,23.0,1503320747.217051,0.10580004022883162,5.000027946428817,1781403.3352250736,150180991.07042357
2.0,24.0,2611366540.318021,0.11138507119997021,4.9999788233120075,1749210.6359016066,148534809.52043846
2.0,25.0,2336927120.3700414,0.11670170533804522,5.000037134949425,1719290.0364960053,146988646.44586864
2.0,26.0,2042781360.1679177,0.12177227558362039,4.999959299275127,1691405.1940249705,145532221.12534392
2.0,27.0,1549167746.495893,0.12661651804323196,5.00003069715156,1665351.797716763,144156622.22181922
2.0,28.0,1673441.3080566227,0.13125165125481522,5.000171330064128,1640953.8582161155,142854085.6941172
2.0,29.0,1948807202.5941632,0.13569406479595325,5.000083885386586,1618052.2695585522,141617814.81444895
2.0,30.0,1606605.5370709468,0.13995703251580946,4.9999959533833795,1596514.6359321538,140441833.20621768
2.0,31.0,2192404.609452289,0.14405336875973873,5.000217829520638,1576219.7208203396,139320864.03418022
2.0,32.0,1552648.0698183966,0.14891282680085158,5.0060780002801675,1552648.068799975,138248933.75621772
2.0,33.0,2083349.4347697336,0.15179043217996852,5.00000056418597,1538945.152973956,137225770.31050542
2.0,34.0,3538990.683169189,0.1554506604497449,5.0000118280746415,1521787.4230428792,136243770.62371486
2.0,35.0,14998736.907997895,0.1589835757485002,4.999996277300747,1505512.9156075807,135300904.80912128
2.0,36.0,2139741.593970094,0.16239688440486075,4.999935452775319,1490054.2602492718,134394185.1556467
2.0,37.0,2172273.6819805424,0.16569767883138312,4.999969778013374,1475350.638586376,133520920.26715471
2.0,38.0,1856872.490094291,0.16889234152695,5.0000843237499195,1461347.699486439,132678679.0864152
2.0,39.0,2053701.5453259281,0.1719869086694556,5.000008155956046,1447995.5169637387,131865260.05949683
2.0,40.0,1978992.1081288573,0.17552601973046147,27.700993589727013,1432978.8453976528,129899319.73405106
2.0,41.0,2156351.757194105,0.17789715683920404,4.999893546698438,1423068.1539073775,130317074.13784553
2.0,42.0,1994588.352839008,0.1807222583439062,4.999977289139263,1411416.1476970236,129578830.29673311
2.0,43.0,1948166.5402508853,0.1834669005618757,5.000052379336497,1400257.4427208493,128862417.54689379
2.0,44.0,1896037.594288073,0.18613491535741786,5.000034268390738,1389561.6802692746,128166448.14385034
2.0,45.0,1859908.9040785308,0.18873002306776784,4.999980785964725,1379300.3684552473,127489648.90909812
2.0,46.0,2007985.3106567892,0.1912557043192237,4.999971921234454,1369447.2622156572,126830849.62968442
2.0,47.0,1781952.007419973,0.1940530492066264,25.431397882260406,1358687.1610240052,125102203.06479621
2.0,48.0,302441811.0354555,0.19611140384891357,4.9999720605029365,1350871.495768778,125563024.8155082
2.0,49.0,2108833.588408718,0.19844747099920182,4.9999907160918164,1342105.294233063,124952087.5613058
2.0,50.0,1876265.8201655752,0.20095550260401385,24.46916017370478,1332816.0263777538,123305853.24464989
2.0,51.0,1868193.5234841283,0.2029487868833008,4.999998747789855,1325522.9854816122,123771910.42117445
2.0,52.0,2059749.0989242776,0.20529713606890612,23.839015421862495,1317032.10880323,122176197.19465296
2.0,53.0,2030072.7099272527,0.2072434673848997,5.015898478144391,1310077.340124068,122642356.1562965
2.0,54.0,1932262.1456590183,0.20930918556882433,4.999975201135477,1302777.314979774,122094905.0326242
2.0,55.0,1485023.4809236263,0.21132940685776272,5.006397537827601,1295718.623772095,121558193.46230699
2.0,56.0,1562113.1938513557,0.2133125776904215,4.999979005868564,1288866.4147066036,121031681.53981644
2.0,57.0,1449741.8980121666,0.21524868674439532,5.000009335504968,1282250.0101256517,120514854.15859833
2.0,58.0,1572639.707025587,0.21714544953838036,5.007979458619142,1275837.7998727649,120007231.91423634
2.0,59.0,1562877.2216445685,0.21899800176690792,5.000006267280743,1269641.3021177568,119508370.83350818
2.0,60.0,1604970.5182389857,0.2208131169012447,5.004294737564592,1263633.1804423016,119017846.24727558
2.0,61.0,1579331.939138446,0.22259312588735894,5.000046119691699,1257801.6441010924,118535266.89665946
2.0,62.0,1457563.8506127945,0.2243363000675159,4.999941178390674,1252148.4259723928,118060261.73292717
2.0,63.0,1519993.636420082,0.22604508286716787,5.000008441600904,1246661.815531544,117592483.61998317
2.0,64.0,1388035.290737185,0.22772043397215797,4.999948356664722,1241335.2125594404,117131605.64265883
2.0,65.0,40193004664835.195,0.2293647157424127,5.000150192806755,1236157.836679798,116677320.0101983
2.0,66.0,22437143005031.395,0.23097569948077534,5.000093836872283,1231133.5304492996,116229336.69145037
2.0,67.0,2192407830.276577,0.23255729741583092,5.000039883342867,1226247.0759322166,115787382.13818993
2.0,68.0,756077781.6724517,0.23411020689030868,5.000017753959148,1221493.580769042,115351198.15177193
2.0,69.0,653878319.6329215,0.2356344610657725,5.000018996791869,1216870.3063438514,114920540.81809767
2.0,70.0,561105147669.401,0.2371315489349289,5.0000620752061975,1212370.2287502962,114495179.5377623
2.0,71.0,2911690288829.5137,0.2386026311672891,5.000050226250117,1207987.5211048573,114074896.1341074
2.0,72.0,496510149.31363344,0.24004710419458086,5.00000288141526,1203721.7233911387,113659484.03201671
2.0,73.0,322652147.3302256,0.24146718000988612,4.999995078465429,1199564.1619601052,113248747.49838924
2.0,74.0,288809735.62562656,0.24286426795078306,5.0000782637242285,1195508.757378379,112842500.9438514
2.0,75.0,89476783114.01202,0.24423525338001517,4.999956630466656,1191562.5812304164,112440568.28591813
2.0,76.0,219766126.45316184,0.2455850308480355,5.000062866494887,1187709.686161245,112042782.33224294
2.0,77.0,286230547.21793944,0.24691249779741026,4.999990795196093,1183951.5383098593,111648984.2484039
2.0,78.0,286828202.93973374,0.24821834437359905,5.000031928937131,1180284.5263054187,111259023.0354742
2.0,79.0,290767847.62335503,0.2495034986076093,5.000091247915199,1176704.4790575635,110872755.05787829
2.0,80.0,137488326.78033876,0.2507689952999767,5.000007588193264,1173207.048901605,110490043.60233672
2.0,81.0,129008371.15008217,0.2520132313040437,5.000048940080615,1169795.2154469423,110110758.47001499
2.0,82.0,13542161.498865843,0.25323894090991905,5.0000300199645915,1166460.0977885295,109734775.59155746
2.0,83.0,3394431410.37319,0.2544459388936141,5.000023152013096,1163200.9268766786,109361976.67744093
2.0,84.0,10789578.051942768,0.2556347275729366,4.999986414028378,1160015.1099142535,108992248.88535225
2.0,85.0,89290119.974714,0.2568054905149937,5.000037229277045,1156900.96538836,108625484.51278368
2.0,86.0,9365443.220032081,0.25795872878669596,4.999824096058479,1153856.0161492506,108261580.70912726
2.0,87.0,229101125.57659698,0.25909638382044325,5.000082255205466,1150874.0861251352,107900439.2116102
2.0,88.0,241665901.32645965,0.26021645758560835,4.999973584206671,1147959.3822601158,107541966.08649732
2.0,89.0,2837474.7317680297,0.2613205584553306,5.000001279343704,1145106.6987880191,107186071.5020016
2.0,90.0,6956389.6313075805,0.26241021485938304,5.000220463005251,1142311.1729650572,106832669.50439273
2.0,91.0,173947465.024201,0.26348256188484176,5.000051293965443,1139579.223259285,106481677.8214457
2.0,92.0,156257103.79850352,0.26454086738044486,4.999959351968244,1136901.6217118714,106133017.65204695
2.0,93.0,162761855.76410705,0.2655849238298455,4.999986008394182,1134278.0882823546,105786613.50357638
2.0,94.0,6019639.890197211,0.2666145632111169,5.000015957400311,1131708.2456671896,105442393.01308122
2.0,95.0,130938453.82068335,0.2574430971922508,11.093930002512103,1155214.698063194,104639730.28940913
2.0,96.0,126543038.39729327,0.2686325027490427,4.999932994285839,1126721.8009528506,104760228.26761448
2.0,97.0,4963069.518040245,0.26962177144593996,5.000013168670744,1124301.3665037004,104422153.55975783
2.0,98.0,110974565.80486785,0.27059747918619764,5.00006996537756,1121929.5751813098,104086001.33090107
2.0,99.0,122939003.66622347,0.2715606808533382,5.000003058917163,1119603.1959326097,103751712.67037146
2.0,100.0,267666371.85933256,0.27251154849837433,4.999989624899291,1117321.1870055236,103419230.97475338
3.0,1.0,3009036.3264039694,0.0,5.0000264297283525,2551527.0,362318119.1334649
3.0,2.0,3054768.8776407195,0.0,5.000035831295197,2551527.0,356897113.15109444
3.0,3.0,3082059.8297191313,0.0,5.000004590532754,2551527.0,351476107.16884744
3.0,4.0,3292353.5551015954,0.0,5.000026449297392,2551527.0,346055101.1864708
3.0,5.0,3397992.498406414,0.0,5.000011563300805,2551527.0,340634095.2041772
3.0,6.0,3521654.1667635827,0.0,5.000011563300812,2551527.0,335213089.2218459
3.0,7.0,6914805.271174406,0.0,5.000021899145769,2551527.0,329792083.23949146
3.0,8.0,6365465.587303693,0.0,4.999948575730195,2551527.0,324371077.25701547
3.0,9.0,5224921.811093774,0.0,5.000047921133483,2551527.0,318950071.2747074
3.0,10.0,100247825.9432344,0.0,5.000030907539705,2551527.0,313529065.2924657
