"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2024","AQS","020130002","1","3.7","ug/m3 LC","21","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"01/04/2024","AQS","020130002","1","4.6","ug/m3 LC","26","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"01/07/2024","AQS","020130002","1","6.3","ug/m3 LC","35","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"01/10/2024","AQS","020130002","1","8.2","ug/m3 LC","46","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"01/13/2024","AQS","020130002","1","4.2","ug/m3 LC","23","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"01/16/2024","AQS","020130002","1","2.8","ug/m3 LC","16","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"01/19/2024","AQS","020130002","1","3","ug/m3 LC","17","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"01/22/2024","AQS","020130002","1","1.9","ug/m3 LC","11","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"01/25/2024","AQS","020130002","1","1.9","ug/m3 LC","11","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"01/28/2024","AQS","020130002","1","1.4","ug/m3 LC","8","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
