"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2024","AQS","020900034","1","12.6","ppb","17","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"01/02/2024","AQS","020900034","1","8.6","ppb","11","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"01/03/2024","AQS","020900034","1","4.2","ppb","6","NCORE","23","96.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"01/04/2024","AQS","020900034","1","2.5","ppb","3","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"01/05/2024","AQS","020900034","1","6.2","ppb","9","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"01/06/2024","AQS","020900034","1","9.3","ppb","13","NCORE","23","96.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"01/07/2024","AQS","020900034","1","10.9","ppb","14","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"01/08/2024","AQS","020900034","1","8.1","ppb","11","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"01/09/2024","AQS","020900034","1","3.4","ppb","4","NCORE","23","96.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"01/10/2024","AQS","020900034","1","6.2","ppb","9","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
